Delegate Name,Delegate Contract,Aligned Voter Committee,Start Date,End Date,End Reason
BONAPUBLICA,0xFc48fBcA739079aaB08216C4d5E506B96593753d,v3,2023-07-04,,
BLUE,0x173a1c04B79Ed9266721c1154dAa29AddC0B9558,v3,2023-09-28,,
PBG,0x555230eCa835A808518EC3eA3082F05502BAb850,v3,2023-04-09,,
WBC,0x4bed44a9839b8778f69bb6a6d9f843414377ae90,v3,2023-07-10,,
Cloaky,0x0F23dE72e1581857eacD6308aebb69cF3a49CC86,v3,2023-06-06,,
JuliaChang,0x5D4a96aFadb5505a8fF21ddeCa2Baf3A63301396,legacy,2024-02-27,,
AegisD,0xd260762E442ea1893E5eD5E7d28984e19aaFbF5e,v3,2025-03-04,,
Excel,0xeAD02D18529C10EeDD995F760FDf5e380DDf3Da6,v3,2025-04-04,,
Tango,0x550E5EC00B9d26a3517ce772DdFE73e8Ed1672Ad,v3,2025-05-01,,
Max Staking Yield,0xFf7615E05EC1C8D5dED24AB50Bf74432666BEE2f,v3,2025-05-22,,
Sky Staking,0xE01684B17dF0aBBdAf97839277b194bE4E1A7E79,v3,2025-05-22,,
Kuzmich,0x2C89024c13A80bC1B662A3dB990524652C15221C,v3,2025-07-01,,
